location_PK,DIVISION,LONG_WGS84,LAT_WGS84
1487,D41,-79.282082015899,43.7528154515736
1488,D23,-79.5273950825903,43.6841565915509
1489,D14,-79.405115031627,43.6430184838273
1490,D53,-79.3979971503353,43.6781709253331
1491,D43,-79.1979788063973,43.7619102913554
1492,D14,-79.4120517294481,43.6507246938458
1493,D33,-79.3433360190737,43.7371833104278
1494,D22,-79.5035834032602,43.6376431478043
1495,D54,-79.3172218416457,43.6898438179384
1496,D53,-79.3905872468585,43.6694730093903
1497,D12,-79.5007472441011,43.7130661464396
1498,D14,-79.4053841315372,43.6474196883182
1499,D42,-79.2108148827857,43.8098806061977
1500,D32,-79.3950612148506,43.758471988106
1501,D14,-79.4203365330285,43.6718580187085
1502,D12,-79.482110348587,43.7052263555394
1503,D41,-79.2805212637458,43.6871456349634
1504,D13,-79.4449890880939,43.6960655663664
1505,D14,-79.4372626209112,43.6404422887804
1506,D22,-79.572870714275,43.6640413582539
1507,D13,-79.4138537377884,43.6745350209313
1508,D14,-79.4112450295837,43.6457372880926
1509,D51,-79.3799562462733,43.6540727931765
1510,D31,-79.5377270349874,43.7187856380156
1511,D32,-79.4334590346387,43.7656513894494
1512,D42,-79.2872715142363,43.8199061219567
1513,D53,-79.3413403236696,43.7079519789942
1514,D11,-79.4703745249974,43.6654799593175
1515,D53,-79.3939165452205,43.7247956815571
1516,D42,-79.2259302749827,43.8065550072495
1517,D52,-79.3850132407533,43.6447670838708
1518,D54,-79.3423265101939,43.6810478805388
1519,D13,-79.4365506003945,43.6936814739803
1520,D13,-79.4441185099272,43.6836644957454
1521,D13,-79.4410793814915,43.7022392599214
1522,D31,-79.5089706444244,43.7223819464395
1523,D23,-79.5779927749416,43.7254847587339
1524,D23,-79.591097357858,43.6769889478237
1525,D43,-79.2329648460509,43.7795367012386
1526,D42,-79.2101684934405,43.817143450529
1527,D31,-79.5133986154133,43.7580650851833
1528,D14,-79.4316657235517,43.6606604103195
1529,D43,-79.245533449063,43.7399182791619
1530,D54,-79.3447960230773,43.6933349068827
1531,D13,-79.4286773281432,43.6772766189603
1532,D23,-79.5653762062861,43.6743340235856
1533,D32,-79.4129859116869,43.755734888973
1534,D33,-79.3651399291236,43.7645349989659
1535,D54,-79.3351893191342,43.6817514932818
1536,D11,-79.4539150153605,43.6463425006403
1537,D23,-79.5779604734382,43.7368201752466
1538,D31,-79.5445903843239,43.7352685600394
1539,D13,-79.4220617267641,43.6859281083325
1540,D32,-79.4035459126899,43.759659988106
1541,D33,-79.3825290439306,43.7948079576372
1542,D41,-79.2883589953972,43.761595637031
1543,D43,-79.1732865990824,43.7930112864675
1544,D53,-79.3764268858409,43.7025042565809
1545,D42,-79.164347319046,43.8059560804575
1546,D55,-79.3381681107267,43.6783193784527
1547,D31,-79.5168988119451,43.7524174814278
1548,D43,-79.1845214962234,43.7862739913207
1549,D42,-79.297979977673,43.7762378268425
1550,D41,-79.2609560481172,43.7565762690857
1551,D22,-79.5408514872457,43.6177350060412
1552,D14,-79.4345192238265,43.6643383149485
1553,D42,-79.1865962816025,43.8049712930049
1554,D55,-79.336144410992,43.6768222776342
1555,D55,-79.3290411985588,43.6605476442648
1556,D55,-79.334955916759,43.6798752883759
1557,D33,-79.3204231691216,43.7607825215546
1558,D32,-79.4733686125755,43.7742769459043
1559,D12,-79.5193811457354,43.7042205550712
1560,D11,-79.4523624205055,43.6684788298887
1561,D51,-79.379357949273,43.6618755009793
1562,D31,-79.5080875514126,43.7279868613034
1563,D33,-79.3472419109504,43.73543400899
1564,D12,-79.5258427479054,43.7032339595445
1565,D32,-79.4002223837059,43.7720799899098
1566,D12,-79.5035057908843,43.6793343081686
1567,D33,-79.3858106977563,43.777458295874
1568,D41,-79.2749465253184,43.7494527615645
1569,D22,-79.5313622167943,43.6096123992811
1570,D12,-79.4941914833812,43.686588088009
1571,D14,-79.3967579344126,43.6367298758336
1572,D42,-79.2640083403854,43.8153524910878
1573,D32,-79.4686141357488,43.7195604513457
1574,D23,-79.5879860890966,43.7186667780413
1575,D42,-79.3145358953653,43.8115103502972
1576,D11,-79.4623006238536,43.6645680476822
1577,D43,-79.2168288932624,43.7467196863066
1578,D22,-79.5267089861785,43.6664990718701
1579,D33,-79.3228416578448,43.7444688208585
1580,D31,-79.4891951256057,43.7563446672844
1581,D23,-79.5739520783346,43.7210135511847
1582,D53,-79.3605703088432,43.7031688823898
1583,D32,-79.4129606609937,43.7368546769748
1584,D43,-79.2515454596796,43.754279074688
1585,D52,-79.3935044396635,43.6560065955518
1586,D14,-79.4005902331352,43.6478853871859
1587,D14,-79.408448538813,43.6719365166202
1588,D23,-79.6167866921148,43.7232502043214
1589,D54,-79.2997910631743,43.7178642701981
1590,D11,-79.4681638134863,43.6352162979835
1591,D31,-79.5019147124325,43.7457294628223
1592,D31,-79.5607060963681,43.7524774923984
1593,D42,-79.2287533748084,43.7990821928583
1594,D52,-79.3855491405765,43.6460531851568
